"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"1","Travis Hunter","CB /Collins HillSuwanee, GA","CB",99.56,"Colorado Buffaloes",2100000,2000000,"Pac-12"
"2","Kool-Aid McKinstry","CB /Pinson ValleyPinson, AL","CB",97.83,"Alabama Crimson Tide",896000,191000,"SEC"
"3","Terrion Arnold","CB /John Paul II CatholicTallahassee, FL","CB",96.57,"Alabama Crimson Tide",715000,290000,"SEC"
"4","Denzel Burke","CB /SaguaroScottsdale, AZ","CB",92.1,"Ohio State Buckeyes",662000,38000,"Big Ten"
"5","Kris Abrams-Draine","CB /Spanish FortSpanish Fort, AL","CB",89.33,"Missouri Tigers",613000,4900,"SEC"
"6","Cooper DeJean","CB /Battle Creek-Ida GroveIda Grove, IA","CB",90.36,"Iowa Hawkeyes",596000,62000,"Big Ten"
"7","T.J. Tampa","CB /LakewoodSaint Petersburg, FL","CB",84.03,"Iowa State Cyclones",589000,25000,"Big 12"
"8","Mike Sainristil","CB /EverettEverett, MA","CB",87.5,"Michigan Wolverines",572000,80000,"Big Ten"
"9","Cormani McClain","CB /LakelandLakeland, FL","CB",98.16,"Colorado Buffaloes",510000,165000,"Pac-12"
"10","Khyree Jackson","CB /Dr. Henry WiseUpper Marlboro, MD","CB",90.42,"Oregon Ducks",501000,51000,"Pac-12"
"11","DJ James","CB /Spanish FortSpanish Fort, AL","CB",87.2,"Auburn Tigers",492000,18600,"SEC"
"12","Kalen King","CB /Cass TechnicalDetroit, MI","CB",92.3,"Penn State Nittany Lions",445000,27000,"Big Ten"
"13","Quinyon Mitchell","CB /WillistonWilliston, FL","CB",82.08,"Toledo Rockets",421000,1000,"MAC"
"14","Dwight McGlothern","CB /Klein OakSpring, TX","CB",90.37,"Arkansas Razorbacks",419000,31000,"SEC"
"15","Christian Roland-Wallace","CB /William KnightPalmdale, CA","CB",84.7,"Usc Trojans",414000,2500,"Pac-12"
"16","Benjamin Morrison","CB /Brophy College PreparatoryPhoenix, AZ","CB",89.75,"Notre Dame Fighting Irish",413000,8700,"Independent"
"17","Dezz Ricks","CB /IMG AcademyChesapeake, VA","CB",97.69,"Alabama Crimson Tide",395000,31000,"SEC"
"18","Kamari Lassiter","CB /American Christian Tuscaloosa, AL","CB",91.29,"Georgia Bulldogs",361000,29000,"SEC"
"19","Sebastian Castro","CB /H L RichardsOak Lawn, IL","CB",86.13,"Iowa Hawkeyes",336000,2500,"Big Ten"
"20","Maxwell Hairston","CB /West BloomfieldWest Bloomfield, MI","CB",84.7,"Kentucky Wildcats",331000,17900,"SEC"
"21","Beanie Bishop","CB /Pleasure Ridge ParkLouisville, KY","CB",78.55,"West Virginia Mountaineers",317000,1700,"Big 12"
"22","Will Johnson","CB /Grosse Pointe SouthGrosse Pointe, MI","CB",97.83,"Michigan Wolverines",313000,62000,"Big Ten"
"23","Nate Wiggins","CB /WestlakeAtlanta, GA","CB",93.59,"Clemson Tigers",310000,21000,"ACC"
"24","Deantre Prince","CB /CharlestonCharleston, MS","CB",89.33,"Ole Miss Rebels",281000,16600,"SEC"
"25","Elijah Jones","CB /Cardinal HayesBronx, NY","CB",84.1,"Boston College Eagles",279000,918,"ACC"
"26","Malik Muhammad","CB /South Oak CliffDallas, TX","CB",96.22,"Texas Longhorns",256000,43000,"Big 12"
"27","Alijah Huzzie","CB /Heard CountyFranklin, GA","CB",50,"North Carolina Tar Heels",253000,1300,"ACC"
"28","Josh Newton","CB /Ouachita ParishMonroe, LA","CB",76.05,"Tcu Horned Frogs",249000,5000,"Big 12"
"29","Kamal Hadden","CB /River RougeRiver Rouge, MI","CB",86.04,"Auburn Tigers",244000,16600,"SEC"
"30","Terrance Brooks","CB /Little ElmLittle Elm, TX","CB",95.9,"Texas Longhorns",221000,40000,"Big 12"
"31","Jermaine Mathews","CB /Winton WoodsCincinnati, OH","CB",96.23,"Ohio State Buckeyes",212000,43000,"Big Ten"
"32","Quincy Riley","CB /A C FloraColumbia, SC","CB",83.5,"Louisville Cardinals",212000,7000,"ACC"
"33","Julian Humphrey","CB /Clear LakeHouston, TX","CB",94.9,"Georgia Bulldogs",212000,458000,"SEC"
"35","A.J. Harris","CB /CentralPhenix City, AL","CB",96.6,"Georgia Bulldogs",203000,18200,"SEC"
"36","Marcellas Dial","CB /WoodruffWoodruff, SC","CB",82.5,"South Carolina Gamecocks",202000,4300,"SEC"
"37","Ricardo Hallman","CB /TRU Prep AcademyMiami Gardens, FL","CB",86.5,"Wisconsin Badgers",199000,6500,"Big Ten"
"38","Chau Smith-Wade","CB /Simeon Vocational HSChicago, IL","CB",83.43,"Washington State Cougars",197000,999,"Pac-12"
"39","Kitan Crawford","CB /John TylerTyler, TX","CB",92.69,"Texas Longhorns",193000,6000,"Big 12"
"40","Gavin Holmes","CB /Archbishop RummelMetairie, LA","CB",82.87,"Texas Longhorns",192000,3200,"Big 12"
"41","Ennis Rakestraw","CB /DuncanvilleDuncanville, TX","CB",84.7,"Missouri Tigers",187000,24000,"SEC"
"42","Fentrell Cypress","CB /NorthwesternRock Hill, SC","CB",85.23,"Florida State Seminoles",182000,4200,"ACC"
"43","Ja'Keem Jackson","CB /OsceolaKissimmee, FL","CB",95.86,"Florida Gators",174000,15600,"SEC"
"44","Rodrick Pleasant","CB /Junipero SerraGardena, CA","CB",94.21,"Oregon Ducks",169000,26000,"Pac-12"
"45","Tacario Davis","CB /MillikanLong Beach, CA","CB",84.08,"Arizona Wildcats",166000,2800,"Pac-12"
"46","Javien Toviano","CB /MartinArlington, TX","CB",95.69,"Lsu Tigers",165000,27000,"SEC"
"47","Warren Roberson","CB /Red OakRed Oak, TX","CB",90.89,"Texas Longhorns",160000,2700,"Big 12"
"48","Bravion Rogers","CB /La GrangeLa Grange, TX","CB",94.27,"Texas A&M Aggies",160000,14800,"SEC"
"49","Jelani McDonald","CB /ConnallyWaco, TX","CB",95.03,"Texas Longhorns",160000,7200,"Big 12"
"50","Dorian Strong","CB /Dr. Henry WiseUpper Marlboro, MD","CB",82.23,"Virginia Tech Hokies",150000,2300,"ACC"
"51","Jayvon Thomas","CB /South Oak CliffDallas, TX","CB",93.44,"Texas A&M Aggies",147000,6800,"SEC"
"52","Warren Burrell","CB /North GwinnettSuwanee, GA","CB",87.77,"Tennessee Volunteers",141000,11400,"SEC"
"53","Christian Charles","CB /ChestateeGainesville, GA","CB",88.77,"Tennessee Volunteers",138000,4700,"SEC"
"54","Jabbar Muhammad","CB /DeSotoDeSoto, TX","CB",83.8,"Washington Huskies",137000,1600,"Pac-12"
"55","Calvin Simpson-Hunt","CB /WaxahachieWaxahachie, TX","CB",95.69,"Ohio State Buckeyes",134000,3400,"Big Ten"
"56","Kayin Lee","CB /Cedar GroveEllenwood, GA","CB",93.56,"Auburn Tigers",134000,22000,"SEC"
"57","Ceyair Wright","CB /LoyolaLos Angeles, CA","CB",94.95,"Usc Trojans",134000,68000,"Pac-12"
"58","Davison Igbinosun","CB /UnionUnion, NJ","CB",92.79,"Ohio State Buckeyes",132000,43000,"Big Ten"
"59","Dijon Johnson","CB /WhartonTampa, FL","CB",93.69,"Florida Gators",132000,19700,"SEC"
"60","D'Angelo Ponds","CB /Chaminade-Madonna PrepMiami, FL","CB",82.99,"James Madison Dukes",132000,2800,"Sun Belt"
"61","Jacobe Johnson","CB /MustangMustang, OK","CB",93.48,"Oklahoma Sooners",131000,12600,"Big 12"
"62","Aydan White","CB /Christ SchoolArden, NC","CB",85.97,"Nc State Wolfpack",131000,2500,"ACC"
"63","Jaylon Braxton","CB /Lone StarFrisco, TX","CB",93.44,"Arkansas Razorbacks",129000,19000,"SEC"
"65","Daylen Austin","CB /Long Beach PolyLong Beach, CA","CB",93.93,"Oregon Ducks",126000,24000,"Pac-12"
"66","Jordan Matthews","CB /WoodlawnBaton Rouge, LA","CB",93.28,"Tennessee Volunteers",126000,14700,"SEC"
"67","Domani Jackson","CB /Mater DeiSanta Ana, CA","CB",98.57,"Usc Trojans",124000,36000,"Pac-12"
