"","Name","High.School","Position","Rating","NIL.Valuation","Followers","Last.Team","New.Team"
"1","Travis Hunter","Collins Hill","WR / CB",99.56,2200000,1900000,"jackson state tigers","colorado buffaloes"
"2","Khyree Jackson","Dr. Henry Wise","CB / CB",90.42,518000,41000,"alabama crimson tide","oregon ducks"
"3","Christian Roland-Wallace","William Knight","CB / CB",84.7,400000,2500,"arizona wildcats","usc trojans"
"4","Fentrell Cypress","Northwestern","CB / CB",85.23,179000,4200,"virginia cavaliers","florida state seminoles"
"5","Zamari Walton","Melbourne Central Catholic","CB / CB",83.4,249000,19900,"georgia tech yellow jackets","ole miss rebels"
"6","Alijah Huzzie","Heard County","CB / CB",0,264000,1300,"etsu buccaneers","north carolina tar heels"
"7","Davison Igbinosun","Union","CB / CB",92.79,223000,41000,"ole miss rebels","ohio state buckeyes"
"8","Gavin Holmes","Archbishop Rummel","CB / CB",82.87,192000,3200,"wake forest demon deacons","texas longhorns"
"9","Beanie Bishop","Pleasure Ridge Park","CB / CB",78.55,345000,1700,"minnesota golden gophers","west virginia mountaineers"
"10","Lance Robinson","Mitchell County","OT / CB",83.83,0,8600,"houston cougars","louisville cardinals"
"11","Marquis Wilson","Avon Old Farms","ATH / CB",89.67,141000,9600,"penn state nittany lions","purdue boilermakers"
"12","Myles Jones","Magnolia West","CB / CB",89.03,118000,128000,"texas am aggies","duke blue devils"
"13","Tony Grimes","Princess Anne","CB / CB",97.64,114000,30000,"north carolina tar heels","texas am aggies"
"14","DeShawn Gaddie Jr.","Lamar","CB / CB",82.6,103000,160000,"north texas mean green","ole miss rebels"
"15","Gavin Pringle","Mount Saint Joseph","CB / CB",0,89000,865,"bucknell bison","georgia state panthers"
"16","Justin Flowe","Upland","LB / LB",99.05,446000,507000,"oregon ducks","arizona wildcats"
"17","Francisco Mauigoa","Tafuna","LB / LB",82.83,355000,3100,"washington state cougars","miami hurricanes"
"18","Trezmen Marshall","Clinch County","LB / LB",93.12,163000,12100,"georgia bulldogs","alabama crimson tide"
"19","Teradja Mitchell","Bayside","LB / LB",96.34,126000,48000,"ohio state buckeyes","florida gators"
"20","Mason Cobb","Provo","LB / LB",83.4,114000,15900,"oklahoma state cowboys","usc trojans"
"21","MJ Sherman","St. John's","LB / LB",96.56,106000,22000,"georgia bulldogs","nebraska cornhuskers"
"22","Austin Keys","Seminary","LB / LB",85.55,103000,17100,"ole miss rebels","auburn tigers"
"23","Monty Montgomery","Norcross","LB / LB",81.1,88000,10100,"louisville cardinals","ole miss rebels"
"24","Larry Nixon III","Richland","LB / LB",78,85000,1500,"north texas mean green","auburn tigers"
"25","Bear Alexander","IMG Academy","DL / DL",96.33,446000,43000,"georgia bulldogs","usc trojans"
"26","Braden Fiske","Michigan City","DL / DL",79.32,186000,3100,"western michigan broncos","florida state seminoles"
"27","Darrell Jackson","Gadsden County","DL / DL",85.93,101000,7900,"miami hurricanes","florida state seminoles"
"28","Gilber Edmond","Fort Pierce Westwood","EDGE / DL",82.53,100000,4500,"south carolina gamecocks","florida state seminoles"
"29","Kyon Barrs","Murrieta Mesa","DL / DL",0,95000,6400,"arizona wildcats","usc trojans"
"30","Jack Sullivan","Plainfield East","DL / DL",82.87,94000,1700,"purdue boilermakers","usc trojans"
"31","Justin Rogers","Oak Park","DL / DL",96.05,93000,14300,"kentucky wildcats","auburn tigers"
"32","Caleb Banks","Southfield","DL / DL",84.1,93000,5100,"louisville cardinals","florida gators"
"33","Mosiah Nasili-Kite","Emerald Ridge","DL / DL",84.03,88000,788,"maryland terrapins","auburn tigers"
"34","Jamil Muhammad","James Clemens","LB / EDGE",84.63,241000,5900,"georgia state panthers","usc trojans"
"35","Antwaun Powell-Ryland Jr.","Indian River","EDGE / EDGE",91.71,463000,8300,"florida gators","virginia tech hokies"
"36","Anthony Lucas","Chaparral","EDGE / EDGE",96.35,212000,16500,"texas am aggies","usc trojans"
