"","College","total_nil_valuation","avg_valuation","avg_rating","total_followers","avg_followers","number_athletes"
"1","Texas Longhorns",17394000,347880,92.05,1796300,35926,50
"2","Alabama Crimson Tide",13959000,244894.74,94.81,1957300,34338.6,57
"3","Ohio State Buckeyes",10754000,238977.78,93.95,2448300,54406.67,45
"4","Recruits",10580000,215918.37,76.79,3956900,80753.06,49
"5","Usc Trojans",9630000,283235.29,88.84,1337839,39348.21,34
"6","Georgia Bulldogs",9627000,188764.71,93.85,1970000,38627.45,51
"7","Tennessee Volunteers",8717000,193711.11,90.46,1193900,26531.11,45
"8","Florida State Seminoles",7873000,196825,86.65,1089400,27235,40
"9","Oregon Ducks",7613000,331000,90.31,1126700,48986.96,23
"10","Colorado Buffaloes",7587000,1083857.14,90.62,4863900,694842.86,7
"11","Lsu Tigers",6978000,240620.69,91.98,925900,31927.59,29
"12","Texas Am Aggies",6643000,170333.33,93.08,3190500,81807.69,39
"13","Michigan Wolverines",6514000,271416.67,90.7,1438600,59941.67,24
"14","Penn State Nittany Lions",6377000,172351.35,90.87,971400,26254.05,37
"15","Oklahoma Sooners",5357000,191321.43,88.83,1287600,45985.71,28
"16","Notre Dame Fighting Irish",5088000,299294.12,91.64,568000,33411.76,17
"17","Ole Miss Rebels",4995000,172241.38,86.57,902200,31110.34,29
"18","Florida Gators",4541000,129742.86,89.91,757100,21631.43,35
"19","Auburn Tigers",4414000,142387.1,87.6,454788,14670.58,31
"20","North Carolina Tar Heels",4039000,448777.78,85.13,168300,18700,9
"21","South Carolina Gamecocks",4004000,266933.33,90.94,903600,60240,15
"22","Clemson Tigers",3674000,183700,94,649000,32450,20
"23","Missouri Tigers",3641000,331000,89.33,267100,24281.82,11
"24","Washington Huskies",3634000,330363.64,86.16,141000,12818.18,11
"25","Miami Hurricanes",3312000,165600,92.14,410900,20545,20
"26","Louisville Cardinals",2536000,230545.45,88.31,247500,22500,11
"27","Ucla Bruins",2477000,353857.14,81.32,162900,23271.43,7
"28","Nebraska Cornhuskers",2417000,105086.96,86.23,340300,14795.65,23
"29","Arizona Wildcats",2030000,225555.56,87.37,785189,87243.22,9
"30","Oregon State Beavers",2006000,401200,82.07,207700,41540,5
"31","Kentucky Wildcats",1834000,262000,82.55,201700,28814.29,7
"32","Toledo Rockets",1734000,216750,79.41,52912,6614,8
"33","Arkansas Razorbacks",1550000,155000,91.07,225300,22530,10
"34","West Virginia Mountaineers",1471000,245166.67,88.5,153600,25600,6
"35","Iowa Hawkeyes",1384000,276800,87.58,213200,42640,5
"36","Kansas State Wildcats",1344000,224000,79.58,97900,16316.67,6
"37","Maryland Terrapins",1327000,331750,77.62,159389,39847.25,4
"38","Oklahoma State Cowboys",1298000,259600,86.63,86100,17220,5
"39","Boise State Broncos",1133000,283250,84.33,12100,3025,4
"40","Kansas Jayhawks",1122000,224400,82.93,117000,23400,5
"41","Tcu Horned Frogs",1116000,186000,88.69,104600,17433.33,6
"42","Smu Mustangs",1114000,222800,88.25,29264,5852.8,5
"43","Texas Tech Red Raiders",1109000,277250,82.96,27600,6900,4
"44","Ucf Knights",1095000,182500,91.18,215700,35950,6
"45","Utah Utes",1035000,258750,91.66,319800,79950,4
"46","Tulane Green Wave",1016000,254000,86.87,82600,20650,4
"47","Illinois Fighting Illini",1006000,251500,78.63,26900,6725,4
"48","Washington State Cougars",992000,330666.67,61.14,124899,41633,3
"49","Wisconsin Badgers",949000,237250,87.64,149700,37425,4
"50","Iowa State Cyclones",939000,313000,88.08,39000,13000,3
"51","Mississippi State Bulldogs",936000,312000,88.39,40000,13333.33,3
"52","James Madison Dukes",886000,295333.33,70.54,5100,1700,3
"53","Boston College Eagles",771000,192750,77.08,21718,5429.5,4
"54","Nc State Wolfpack",763000,254333.33,90.59,15500,5166.67,3
"55","Duke Blue Devils",733000,183250,87.75,181500,45375,4
"56","Rutgers Scarlet Knights",675000,225000,70.45,10800,3600,3
"57","Appalachian State Mountaineers",649000,324500,68.52,2800,1400,2
"58","Wake Forest Demon Deacons",645000,322500,86.38,6200,3100,2
"59","Connecticut Huskies",624000,312000,63.94,9400,4700,2
"60","Texas State Bobcats",615000,205000,62.89,89503,29834.33,3
"61","Virginia Tech Hokies",593000,296500,86.97,10600,5300,2
"62","Fiu Golden Panthers",568000,284000,65.75,662800,331400,2
"63","Michigan State Spartans",546000,109200,92.64,42800,8560,5
"64","Virginia Cavaliers",521000,521000,85.6,2700,2700,1
"65","Memphis Tigers",515000,257500,79.61,6900,3450,2
"66","Purdue Boilermakers",514000,257000,87.15,7000,3500,2
"67","Syracuse Orange",401000,200500,84.78,21000,10500,2
"68","Arizona State Sun Devils",400000,400000,95.06,42000,42000,1
"69","South Alabama Jaguars",397000,397000,80.96,108,108,1
"70","Cincinnati Bearcats",394000,131333.33,89.39,138900,46300,3
"71","California Golden Bears",391000,391000,89.97,18800,18800,1
"72","Colorado State Rams",367000,183500,79.39,10153,5076.5,2
"73","Jacksonville State Gamecocks",361000,361000,97.64,3300,3300,1
"74","Baylor Bears",341000,341000,87.1,3600,3600,1
"75","Western Kentucky Hilltoppers",341000,341000,77.77,4300,4300,1
"76","Georgia Tech Yellow Jackets",307000,307000,93.13,26000,26000,1
"77","Stanford Cardinal",297000,148500,86.87,6900,3450,2
"78","Utep Miners",239000,239000,78.65,1300,1300,1
"79","Temple Owls",220000,220000,81.78,3400,3400,1
"80","Pittsburgh Panthers",202000,202000,82.57,7000,7000,1
"81","Marshall Thundering Herd",188000,188000,50,5400,5400,1
"82","Unlv Rebels",176000,176000,85.03,673,673,1
"83","Utsa Roadrunners",158000,158000,81.13,19000,19000,1
"84","Southern Miss Golden Eagles",140000,140000,82.9,39000,39000,1
"85","Liberty Flames",133000,133000,83.23,34000,34000,1
"86","Byu Cougars",129000,129000,97.4,32000,32000,1
"87","Miami Oh Redhawks",122000,122000,83,99000,99000,1
"88","Minnesota Golden Gophers",114000,114000,84.7,636,636,1
"89","Rice Owls",106000,106000,97.81,100000,100000,1
"90","Vanderbilt Commodores",93000,93000,87.78,2700,2700,1
"91","Northern Illinois Huskies",92000,92000,83.48,714,714,1
"92","Middle Tennessee State Blue Raiders",87000,87000,50,892,892,1
"93","Northwestern Wildcats",85000,85000,95.19,70000,70000,1
"94","Ball State Cardinals",75000,75000,78.21,2100,2100,1
"95","Western Michigan Broncos",65000,65000,50,470,470,1
