"","Name","High School","Position","NIL Valuation","Last Team","New Team"
"1","Mason Arnold","Carrollwood Day","LS",0,"ohio state buckeyes","michigan state spartans"
"2","Marco Ortiz","Benedictine","LS",0,"florida gators","nebraska cornhuskers"
"3","Michael Donovan","Ernest W. Seaholm","LS",0,"michigan state spartans","miami hurricanes"
"4","Slater Zellers","Notre Dame Preparatory","LS",0,"california golden bears","arizona state sun devils"
"5","Gage King","Oak Ridge","LS",0,"arizona state sun devils","ucf knights"
"6","Michael Wright","Blessed Trinity Catholic","LS",0,"penn state nittany lions","boston college eagles"
"7","Brylan Noonan","Robinson Secondary","LS",0,"wagner seahawks","temple owls"
"8","Zach Edwards","Azle","LS",0,"texas longhorns","undecided"
"9","John Ferlmann","Boulder Creek","LS",0,"arizona state sun devils","ohio state buckeyes"
"10","Vincenzo Anthony","Venice","LS",0,"virginia tech hokies","undecided"
"11","Kaydon Olivia","Samuel Clemens","LS",0,"texas state bobcats","undecided"
"12","Justice Brusatto","Juan Diego Catholic","LS",0,"idaho state bengals","undecided"
"13","Colson Brunner","Cashmere","LS",0,"central washington wildcats","oregon ducks"
"14","Enzo Anthony","","LS",0,"virginia tech hokies","undecided"
"15","Ronald Gaines III","Simeon","LS",0,"temple owls","undecided"
"16","Mason Arnold","Carrollwood Day","LS",0,"michigan state spartans","florida state seminoles"
"17","Thomas Hathorn","","LS",0,"henderson state reddies","undecided"
"18","Brandon Richards","","LS",0,"hampton pirates","undecided"
"19","Will Ferrin","Davis","P",0,"boise state broncos","undecided"
"20","Ryan Sanborn","Francis Parker School","P",0,"stanford cardinal","texas longhorns"
"21","Michael O'Shaughnessy","New Albany","P",0,"ohio state buckeyes","michigan state spartans"
"22","Mark Vassett","ProKick Australia","P",0,"louisville cardinals","colorado buffaloes"
"23","Riley Thompson","Alfred Deakin High","P",0,"florida atlantic owls","penn state nittany lions"
"24","Luke Elzinga","Grand Rapids Christian","P",0,"central michigan chippewas","oklahoma sooners"
"25","Jack Martin","Northview","P",0,"alabama crimson tide","houston cougars"
"26","Josh Carlson","Gilbert","P",0,"new mexico state aggies","arizona state sun devils"
"27","Jack Stonehouse","Chaminade","P",0,"missouri tigers","syracuse orange"
"28","Michael Hayes","West Florence","P",0,"georgia state panthers","west virginia mountaineers"
"29","Josh Leff","Sierra Canyon","P",0,"illinois fighting illini","smu mustangs"
