"","Conference","name"
"1","Mountain West","Air Force Falcons"
"2","MAC","Akron Zips"
"3","SEC","Alabama Crimson Tide"
"4","Sun Belt","Appalachian State Mountaineers"
"5","Pac-12","Arizona Wildcats"
"6","Pac-12","Arizona State Sun Devils"
"7","SEC","Arkansas Razorbacks"
"8","Sun Belt","Arkansas State Red Wolves"
"9","Independent","Army Black Knights"
"10","SEC","Auburn Tigers"
"11","MAC","Ball State Cardinals"
"12","Big 12","Baylor Bears"
"13","Mountain West","Boise State Broncos"
"14","ACC","Boston College Eagles"
"15","MAC","Bowling Green Falcons"
"16","MAC","Buffalo Bulls"
"17","Big 12","Byu Cougars"
"18","Pac-12","California Golden Bears"
"19","MAC","Central Michigan Chippewas"
"20","American","Charlotte 49ers"
"21","Big 12","Cincinnati Bearcats"
"22","ACC","Clemson Tigers"
"23","Sun Belt","Coastal Carolina Chanticleers"
"24","Pac-12","Colorado Buffaloes"
"25","Mountain West","Colorado State Rams"
"26","ACC","Duke Blue Devils"
"27","American","East Carolina Pirates"
"28","MAC","Eastern Michigan Eagles"
"29","American","Florida Atlantic Owls"
"30","C-USA","Fiu Panthers"
"31","SEC","Florida Gators"
"32","ACC","Florida State Seminoles"
"33","Mountain West","Fresno State Bulldogs"
"34","SEC","Georgia Bulldogs"
"35","Sun Belt","Georgia Southern Eagles"
"36","Sun Belt","Georgia State Panthers"
"37","ACC","Georgia Tech Yellow Jackets"
"38","Mountain West","Hawaii Rainbow Warriors"
"39","Big 12","Houston Cougars"
"40","Big Ten","Illinois Fighting Illini"
"41","Big Ten","Indiana Hoosiers"
"42","Big Ten","Iowa Hawkeyes"
"43","Big 12","Iowa State Cyclones"
"44","C-USA","Jacksonville State Gamecocks"
"45","Sun Belt","James Madison Dukes"
"46","Big 12","Kansas Jayhawks"
"47","Big 12","Kansas State Wildcats"
"48","MAC","Kent State Golden Flashes"
"49","SEC","Kentucky Wildcats"
"50","C-USA","Liberty Flames"
"51","Sun Belt","Louisiana Ragin' Cajuns"
"52","Sun Belt","Louisiana–Monroe Warhawks"
"53","C-USA","Louisiana Tech Bulldogs"
"54","ACC","Louisville Cardinals"
"55","SEC","Lsu Tigers"
"56","Sun Belt","Marshall Thundering Herd"
"57","Big Ten","Maryland Terrapins"
"58","American","Memphis Tigers"
"59","ACC","Miami Hurricanes"
"60","MAC","Miami (Oh) Redhawks"
"61","Big Ten","Michigan Wolverines"
"62","Big Ten","Michigan State Spartans"
