"","team","wins","losses","ties","win_percentage_change"
"1","georgia bulldogs",40,77,0,27.7
"2","michigan wolverines",48,60,0,24.4
"3","ohio state buckeyes",2,7,0,20.9
"4","alabama crimson tide",2,8,0,20.7
"5","james madison dukes",40,77,0,20.6
"6","air force falcons",67,54,0,20.5
"7","fresno state bulldogs",80,42,0,20.1
"8","notre dame fighting irish",18,99,0,19.8
"9","texas san antonio roadrunners",63,60,0,19.8
"10","clemson tigers",38,74,0,19.8
"11","oregon ducks",43,73,0,18.3
"12","penn state nittany lions",60,62,0,18
"13","utah utes",46,78,0,17.7
"14","cincinnati bearcats",40,74,0,17.5
"15","coastal carolina chanticleers",61,61,0,17.3
"16","oklahoma sooners",32,67,0,17.1
"17","tennessee volunteers",55,67,0,17
"18","mississippi rebels",56,67,0,16.7
"19","iowa hawkeyes",41,77,0,16.4
"20","oregon state beavers",102,31,0,16.1
"21","ul lafayette ragin cajuns",24,27,0,15.3
"22","houston cougars",27,83,0,13.7
"23","oklahoma state cowboys",63,60,0,13.1
"24","liberty flames",62,60,0,12.5
"25","brigham young cougars",31,86,0,12.4
"26","washington huskies",41,78,0,12.2
"27","ucla bruins",57,65,0,11.6
"28","florida state seminoles",67,61,0,11.4
"29","kansas state wildcats",51,71,0,10.1
"30","wake forest demon deacons",32,78,0,10
"31","pittsburgh panthers",33,84,0,9.4
"32","kentucky wildcats",66,56,0,9.09999999999999
"33","troy trojans",55,64,0,8.9
"34","minnesota golden gophers",76,46,0,8.8
"35","nc state wolfpack",70,57,0,8.39999999999999
"36","texas christian horned frogs",67,59,0,8.2
"37","san diego state aztecs",57,67,0,7.09999999999999
"38","toledo rockets",56,66,0,6.9
"39","southern california trojans",52,68,0,6.6
"40","north carolina tar heels",51,71,0,6.5
"41","jacksonville state gamecocks",27,19,0,6.40000000000001
"42","central florida knights",79,49,0,6.3
"43","western kentucky hilltoppers",84,41,0,6.2
"44","wisconsin badgers",79,46,0,5.8
"45","marshall thundering herd",78,46,0,5.40000000000001
"46","louisiana state tigers",56,65,0,5.4
"47","southern methodist mustangs",84,42,0,4.8
"48","baylor bears",81,48,0,4.8
"49","maryland terrapins",62,64,0,4.5
"50","boise state broncos",60,58,0,4.3
"51","louisville cardinals",48,50,0,4.2
"52","eastern michigan eagles",78,48,0,3.8
"53","tulane green wave",54,69,0,3.6
"54","appalachian state mountaineers",48,73,0,3.3
"55","mississippi state bulldogs",76,52,0,2.8
"56","south alabama jaguars",55,67,0,2.6
"57","utah state aggies",50,69,0,2.5
"58","michigan state spartans",94,34,0,2.40000000000001
"59","texas longhorns",55,70,0,2.3
"60","miami ohio redhawks",93,34,0,2
"61","wyoming cowboys",42,72,0,2
"62","washington state cougars",81,43,0,1.90000000000001
"63","purdue boilermakers",74,54,0,1.3
"64","texas am aggies",71,53,0,1.2
"65","memphis tigers",112,18,0,1.09999999999999
"66","army black knights",80,46,0,0.900000000000006
"67","duke blue devils",51,70,0,0.899999999999999
"68","georgia st panthers",45,73,0,0.400000000000006
"69","missouri tigers",61,62,0,0.299999999999997
"70","texas tech red raiders",73,53,0,0.100000000000001
"71","uab blazers",80,47,0,-0.399999999999999
"72","ohio bobcats",90,38,0,-0.5
"73","arkansas razorbacks",78,49,0,-0.699999999999996
"74","miami hurricanes",21,46,0,-0.899999999999999
"75","central michigan chippewas",78,48,0,-1
"76","south carolina gamecocks",30,79,0,-1.3
"77","east carolina pirates",89,39,0,-1.5
"78","florida gators",71,54,0,-1.7
"79","syracuse orange",32,46,0,-1.7
"80","illinois fighting illini",85,42,0,-1.8
"81","middle tennessee blue raiders",81,40,0,-1.8
"82","north texas mean green",83,43,0,-1.8
"83","tulsa golden hurricane",43,77,0,-2
"84","west virginia mountaineers",83,41,0,-2.6
"85","western michigan broncos",53,67,0,-2.8
"86","iowa state cyclones",74,53,0,-2.8
"87","northern illinois huskies",71,54,0,-3
"88","auburn tigers",50,66,0,-3.5
"89","san jose state spartans",56,68,0,-4.2
"90","rutgers scarlet knights",127,12,0,-4.5
"91","florida atlantic owls",50,77,0,-4.8
"92","new mexico state aggies",65,56,0,-5.4
"93","texas el paso miners",76,50,0,-5.7
"94","texas state bobcats",75,46,0,-5.8
"95","georgia southern eagles",43,75,0,-5.9
"96","buffalo bulls",53,70,0,-6
"97","bowling green falcons",57,61,0,-6.1
"98","kansas jayhawks",83,43,0,-6.2
"99","boston college eagles",1,6,0,-6.7
"100","unlv rebels",38,80,0,-7.1
"101","kent state golden flashes",19,82,0,-7.1
"102","virginia tech hokies",106,25,0,-7.19999999999999
"103","arizona state sun devils",55,63,0,-7.2
"104","rice owls",72,52,0,-7.7
"105","california golden bears",95,35,0,-8.5
"106","old dominion monarchs",56,68,0,-8.6
"107","ball state cardinals",120,18,0,-9
"108","georgia tech yellow jackets",84,43,0,-9.1
"109","navy midshipmen",81,45,0,-10.1
"110","virginia cavaliers",48,69,0,-10.2
"111","southern miss golden eagles",51,40,0,-10.6
"112","hawaii rainbow warriors",51,71,0,-10.9
"113","nebraska cornhuskers",97,31,0,-11
"114","ul monroe warhawks",63,62,0,-11
"115","arizona wildcats",56,63,0,-11.7
"116","nevada wolf pack",70,23,0,-11.8
"117","charlotte 49ers",50,69,0,-12.2
"118","colorado state rams",37,80,0,-12.3
"119","colorado buffaloes",54,64,0,-12.6
"120","louisiana tech bulldogs",79,50,0,-12.9
"121","vanderbilt commodores",80,47,0,-13.9
"122","florida international panthers",100,27,0,-14.4
"123","stanford cardinal",62,61,0,-14.5
"124","arkansas st red wolves",69,52,0,-14.6
"125","indiana hoosiers",78,52,0,-17.2
"126","connecticut huskies",74,53,0,-17.4
"127","temple owls",68,55,0,-17.7
"128","new mexico lobos",55,65,0,-21
"129","northwestern wildcats",65,57,0,-21.9
"130","south florida bulls",78,49,0,-26.6
