"","X.x","team","total_nil_valuation","avg_valuation","avg_rating","total_followers","avg_followers","number_athletes","X.y","wins","losses","ties","win_percentage_change"
"1",1,"Texas Longhorns",17432000,341803.92,91.99,1762100,34550.98,51,59,55,70,0,2.3
"2",2,"Alabama Crimson Tide",11465000,266627.91,95.3,1703300,39611.63,43,4,2,8,0,20.7
"3",4,"Ohio State Buckeyes",10807000,245613.64,94.04,2314400,52600,44,3,2,7,0,20.9
"4",6,"Tennessee Volunteers",9229000,205088.89,90.46,1181400,26253.33,45,17,55,67,0,17
"5",7,"Georgia Bulldogs",8821000,187680.85,93.82,1823900,38806.38,47,1,40,77,0,27.7
"6",8,"Colorado Buffaloes",8684000,1085500,89.23,4656500,582062.5,8,119,54,64,0,-12.6
"7",9,"Florida State Seminoles",7487000,202351.35,84.98,897400,24254.05,37,28,67,61,0,11.4
"8",10,"Texas Am Aggies",7201000,194621.62,93.34,3214500,86878.38,37,64,71,53,0,1.2
"9",12,"Penn State Nittany Lions",6810000,212812.5,92.27,813900,25434.38,32,12,60,62,0,18
"10",13,"Michigan Wolverines",6637000,301681.82,90.69,1131800,51445.45,22,2,48,60,0,24.4
"11",14,"Oregon Ducks",6584000,313523.81,88.16,945000,45000,21,11,43,73,0,18.3
"12",15,"Notre Dame Fighting Irish",5889000,309947.37,91.57,477400,25126.32,19,8,18,99,0,19.8
"13",16,"Oklahoma Sooners",5366000,214640,84.64,1263700,50548,25,16,32,67,0,17.1
"14",17,"Florida Gators",4744000,131777.78,88.43,890500,24736.11,36,78,71,54,0,-1.7
"15",18,"Miami Hurricanes",4500000,195652.17,91.89,449900,19560.87,23,74,21,46,0,-0.899999999999999
"16",19,"Auburn Tigers",4330000,144333.33,87.65,431888,14396.27,30,88,50,66,0,-3.5
"17",21,"South Carolina Gamecocks",3880000,323333.33,90.55,860100,71675,12,76,30,79,0,-1.3
"18",22,"North Carolina Tar Heels",3839000,383900,81.02,174400,17440,10,40,51,71,0,6.5
"19",23,"Missouri Tigers",3807000,317250,88.16,256200,21350,12,69,61,62,0,0.299999999999997
"20",24,"Clemson Tigers",3522000,195666.67,94.04,618100,34338.89,18,10,38,74,0,19.8
"21",25,"Washington Huskies",3460000,494285.71,77.88,100900,14414.29,7,26,41,78,0,12.2
"22",26,"Ucla Bruins",3134000,313400,70.79,121700,12170,10,27,57,65,0,11.6
"23",27,"Kentucky Wildcats",2632000,219333.33,81.36,273100,22758.33,12,32,66,56,0,9.09999999999999
"24",28,"Louisville Cardinals",2437000,243700,87.49,154100,15410,10,51,48,50,0,4.2
"25",29,"Nebraska Cornhuskers",2326000,110761.9,77.01,322800,15371.43,21,113,97,31,0,-11
"26",30,"Maryland Terrapins",2150000,358333.33,72.47,175489,29248.17,6,49,62,64,0,4.5
"27",31,"Kansas State Wildcats",2039000,291285.71,72.91,136900,19557.14,7,29,51,71,0,10.1
"28",32,"Arizona Wildcats",1955000,279285.71,88.02,782300,111757.14,7,115,56,63,0,-11.7
"29",33,"Oregon State Beavers",1904000,476000,90.08,206500,51625,4,20,102,31,0,16.1
"30",34,"Arkansas Razorbacks",1886000,209555.56,90.68,177600,19733.33,9,73,78,49,0,-0.699999999999996
"31",35,"Wisconsin Badgers",1856000,309333.33,89.53,169000,28166.67,6,44,79,46,0,5.8
"32",36,"Kansas Jayhawks",1650000,235714.29,82.93,116000,16571.43,7,98,83,43,0,-6.2
"33",37,"Iowa Hawkeyes",1597000,266166.67,87.67,206400,34400,6,19,41,77,0,16.4
"34",38,"Toledo Rockets",1573000,196625,73.44,57112,7139,8,38,56,66,0,6.9
"35",40,"Mississippi State Bulldogs",1487000,297400,89.01,111700,22340,5,55,76,52,0,2.8
"36",41,"Utah Utes",1352000,193142.86,91.59,330800,47257.14,7,13,46,78,0,17.7
"37",43,"Washington State Cougars",1309000,261800,33.03,127099,25419.8,5,62,81,43,0,1.90000000000001
"38",44,"West Virginia Mountaineers",1293000,215500,87.1,157100,26183.33,6,84,83,41,0,-2.6
"39",45,"Illinois Fighting Illini",1193000,238600,51.87,26700,5340,5,80,85,42,0,-1.8
"40",46,"Duke Blue Devils",1190000,238000,86.89,180200,36040,5,67,51,70,0,0.899999999999999
"41",47,"Texas Tech Red Raiders",1185000,197500,82.88,45300,7550,6,70,73,53,0,0.100000000000001
"42",48,"Purdue Boilermakers",1125000,225000,86.24,81800,16360,5,63,74,54,0,1.3
