"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"1","jackson state tigers","colorado buffaloes",7753000,969125,8,"SWAC","Jackson, Mississippi",32.2998686,-90.1830408,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"2","wake forest demon deacons","notre dame fighting irish",1300000,1300000,1,"ACC","Winston-Salem, NC",36.0998131,-80.2440518,"Independent","South Bend, IN",41.6833813,-86.2500066
"3","michigan state spartans","florida state seminoles",809000,404500,2,"Big Ten","East Lansing, MI",42.7320307,-84.4721678,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"4","clemson tigers","oregon state beavers",739000,739000,1,"ACC","Clemson, SC",34.6850749,-82.8364111,"Pac-12","Corvallis, OR",44.5645659,-123.2620435
"5","arizona wildcats","usc trojans",716000,238666.67,3,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"6","wisconsin badgers","florida gators",664000,664000,1,"Big Ten","Madison, WI",43.074761,-89.3837613,"SEC","Gainesville, FL",29.6519684,-82.3249846
"7","rhode island rams","oregon ducks",659000,659000,1,"CAA","Kingston, Rhode Island",41.4801166,-71.5227103,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"8","alabama crimson tide","oregon ducks",605000,302500,2,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"9","south carolina gamecocks","florida state seminoles",597000,298500,2,"SEC","Columbia, SC",34.0374165,-80.8224044537886,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"10","south carolina gamecocks","usc trojans",506000,506000,1,"SEC","Columbia, SC",34.0374165,-80.8224044537886,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
