"","Name","HighSchool","Position","Rating","NIL.Valuation","Followers","Last.Team","PastConf","New.Team","NewConf","didTransfer","binomialRep"
"1","Travis Hunter","CB /Collins HillSuwanee, GA","CB",99.56,2100000,2000000,"jackson state tigers","SWAC","colorado buffaloes","Pac-12","Yes",1
"2","Kool-Aid McKinstry","CB /Pinson ValleyPinson, AL","CB",97.83,896000,191000,NA,NA,"alabama crimson tide","SEC","No",0
"3","Terrion Arnold","CB /John Paul II CatholicTallahassee, FL","CB",96.57,715000,290000,NA,NA,"alabama crimson tide","SEC","No",0
"4","Denzel Burke","CB /SaguaroScottsdale, AZ","CB",92.1,662000,38000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"5","Kris Abrams-Draine","CB /Spanish FortSpanish Fort, AL","CB",89.33,613000,4900,NA,NA,"missouri tigers","SEC","No",0
"6","Cooper DeJean","CB /Battle Creek-Ida GroveIda Grove, IA","CB",90.36,596000,62000,NA,NA,"iowa hawkeyes","Big Ten","No",0
"7","T.J. Tampa","CB /LakewoodSaint Petersburg, FL","CB",84.03,589000,25000,NA,NA,"iowa state cyclones","Big 12","No",0
"8","Mike Sainristil","CB /EverettEverett, MA","CB",87.5,572000,80000,NA,NA,"michigan wolverines","Big Ten","No",0
"9","Cormani McClain","CB /LakelandLakeland, FL","CB",98.16,510000,165000,NA,NA,"colorado buffaloes","Pac-12","No",0
"10","Khyree Jackson","CB /Dr. Henry WiseUpper Marlboro, MD","CB",90.42,501000,51000,"alabama crimson tide","SEC","oregon ducks","Pac-12","Yes",1
"11","DJ James","CB /Spanish FortSpanish Fort, AL","CB",87.2,492000,18600,NA,NA,"auburn tigers","SEC","No",0
"12","Kalen King","CB /Cass TechnicalDetroit, MI","CB",92.3,445000,27000,NA,NA,"penn state nittany lions","Big Ten","No",0
"13","Quinyon Mitchell","CB /WillistonWilliston, FL","CB",82.08,421000,1000,NA,NA,"toledo rockets","MAC","No",0
"14","Dwight McGlothern","CB /Klein OakSpring, TX","CB",90.37,419000,31000,NA,NA,"arkansas razorbacks","SEC","No",0
"15","Christian Roland-Wallace","CB /William KnightPalmdale, CA","CB",84.7,414000,2500,"arizona wildcats","Pac-12","usc trojans","Pac-12","Yes",1
"16","Benjamin Morrison","CB /Brophy College PreparatoryPhoenix, AZ","CB",89.75,413000,8700,NA,NA,"notre dame fighting irish","Independent","No",0
"17","Dezz Ricks","CB /IMG AcademyChesapeake, VA","CB",97.69,395000,31000,NA,NA,"alabama crimson tide","SEC","No",0
"18","Kamari Lassiter","CB /American Christian Tuscaloosa, AL","CB",91.29,361000,29000,NA,NA,"georgia bulldogs","SEC","No",0
"19","Sebastian Castro","CB /H L RichardsOak Lawn, IL","CB",86.13,336000,2500,NA,NA,"iowa hawkeyes","Big Ten","No",0
"20","Maxwell Hairston","CB /West BloomfieldWest Bloomfield, MI","CB",84.7,331000,17900,NA,NA,"kentucky wildcats","SEC","No",0
"21","Beanie Bishop","CB /Pleasure Ridge ParkLouisville, KY","CB",78.55,317000,1700,"minnesota golden gophers","Big Ten","west virginia mountaineers","Big 12","Yes",1
"22","Will Johnson","CB /Grosse Pointe SouthGrosse Pointe, MI","CB",97.83,313000,62000,NA,NA,"michigan wolverines","Big Ten","No",0
"23","Nate Wiggins","CB /WestlakeAtlanta, GA","CB",93.59,310000,21000,NA,NA,"clemson tigers","ACC","No",0
"24","Deantre Prince","CB /CharlestonCharleston, MS","CB",89.33,281000,16600,NA,NA,"ole miss rebels","SEC","No",0
"25","Elijah Jones","CB /Cardinal HayesBronx, NY","CB",84.1,279000,918,NA,NA,"boston college eagles","ACC","No",0
"26","Malik Muhammad","CB /South Oak CliffDallas, TX","CB",96.22,256000,43000,NA,NA,"texas longhorns","Big 12","No",0
"27","Alijah Huzzie","CB /Heard CountyFranklin, GA","CB",50,253000,1300,"etsu buccaneers",NA,"north carolina tar heels","ACC","Yes",1
"28","Josh Newton","CB /Ouachita ParishMonroe, LA","CB",76.05,249000,5000,NA,NA,"tcu horned frogs","Big 12","No",0
"29","Kamal Hadden","CB /River RougeRiver Rouge, MI","CB",86.04,244000,16600,NA,NA,"auburn tigers","SEC","No",0
"30","Terrance Brooks","CB /Little ElmLittle Elm, TX","CB",95.9,221000,40000,NA,NA,"texas longhorns","Big 12","No",0
"31","Jermaine Mathews","CB /Winton WoodsCincinnati, OH","CB",96.23,212000,43000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"32","Quincy Riley","CB /A C FloraColumbia, SC","CB",83.5,212000,7000,NA,NA,"louisville cardinals","ACC","No",0
"33","Julian Humphrey","CB /Clear LakeHouston, TX","CB",94.9,212000,458000,NA,NA,"georgia bulldogs","SEC","No",0
"34","Ryan Watts","CB /Little ElmLittle Elm, TX","CB",91.93,207000,65000,NA,NA,"recruits",NA,"No",0
"35","A.J. Harris","CB /CentralPhenix City, AL","CB",96.6,203000,18200,NA,NA,"georgia bulldogs","SEC","No",0
"36","Marcellas Dial","CB /WoodruffWoodruff, SC","CB",82.5,202000,4300,NA,NA,"south carolina gamecocks","SEC","No",0
"37","Ricardo Hallman","CB /TRU Prep AcademyMiami Gardens, FL","CB",86.5,199000,6500,NA,NA,"wisconsin badgers","Big Ten","No",0
"38","Chau Smith-Wade","CB /Simeon Vocational HSChicago, IL","CB",83.43,197000,999,NA,NA,"washington state cougars","Pac-12","No",0
"39","Kitan Crawford","CB /John TylerTyler, TX","CB",92.69,193000,6000,NA,NA,"texas longhorns","Big 12","No",0
"40","Gavin Holmes","CB /Archbishop RummelMetairie, LA","CB",82.87,192000,3200,"wake forest demon deacons","ACC","texas longhorns","Big 12","Yes",1
"41","Ennis Rakestraw","CB /DuncanvilleDuncanville, TX","CB",84.7,187000,24000,NA,NA,"missouri tigers","SEC","No",0
"42","Fentrell Cypress","CB /NorthwesternRock Hill, SC","CB",85.23,182000,4200,"virginia cavaliers","ACC","florida state seminoles","ACC","Yes",1
"43","Ja'Keem Jackson","CB /OsceolaKissimmee, FL","CB",95.86,174000,15600,NA,NA,"florida gators","SEC","No",0
"44","Rodrick Pleasant","CB /Junipero SerraGardena, CA","CB",94.21,169000,26000,NA,NA,"oregon ducks","Pac-12","No",0
"45","Tacario Davis","CB /MillikanLong Beach, CA","CB",84.08,166000,2800,NA,NA,"arizona wildcats","Pac-12","No",0
"46","Javien Toviano","CB /MartinArlington, TX","CB",95.69,165000,27000,NA,NA,"lsu tigers","SEC","No",0
"47","Warren Roberson","CB /Red OakRed Oak, TX","CB",90.89,160000,2700,NA,NA,"texas longhorns","Big 12","No",0
"48","Bravion Rogers","CB /La GrangeLa Grange, TX","CB",94.27,160000,14800,NA,NA,"texas a&m aggies","SEC","No",0
"49","Jelani McDonald","CB /ConnallyWaco, TX","CB",95.03,160000,7200,NA,NA,"texas longhorns","Big 12","No",0
"50","Dorian Strong","CB /Dr. Henry WiseUpper Marlboro, MD","CB",82.23,150000,2300,NA,NA,"virginia tech hokies","ACC","No",0
"51","Jayvon Thomas","CB /South Oak CliffDallas, TX","CB",93.44,147000,6800,NA,NA,"texas a&m aggies","SEC","No",0
