"","College","total_nil_valuation","avg_valuation","avg_rating","total_followers","avg_followers","number_athletes"
"1","Texas Longhorns",17432000,341803.92,91.99,1762100,34550.98,51
"2","Alabama Crimson Tide",11465000,266627.91,95.3,1703300,39611.63,43
"3","Usc Trojans",11181000,319457.14,85.84,1323439,37812.54,35
"4","Ohio State Buckeyes",10807000,245613.64,94.04,2314400,52600,44
"5","Recruits",9894000,186679.25,54.78,3818857,72053.91,53
"6","Tennessee Volunteers",9229000,205088.89,90.46,1181400,26253.33,45
"7","Georgia Bulldogs",8821000,187680.85,93.82,1823900,38806.38,47
"8","Colorado Buffaloes",8684000,1085500,89.23,4656500,582062.5,8
"9","Florida State Seminoles",7487000,202351.35,84.98,897400,24254.05,37
"10","Texas Am Aggies",7201000,194621.62,93.34,3214500,86878.38,37
"11","Lsu Tigers",6898000,246357.14,92.08,860100,30717.86,28
"12","Penn State Nittany Lions",6810000,212812.5,92.27,813900,25434.38,32
"13","Michigan Wolverines",6637000,301681.82,90.69,1131800,51445.45,22
"14","Oregon Ducks",6584000,313523.81,88.16,945000,45000,21
"15","Notre Dame Fighting Irish",5889000,309947.37,91.57,477400,25126.32,19
"16","Oklahoma Sooners",5366000,214640,84.64,1263700,50548,25
"17","Florida Gators",4744000,131777.78,88.43,890500,24736.11,36
"18","Miami Hurricanes",4500000,195652.17,91.89,449900,19560.87,23
"19","Auburn Tigers",4330000,144333.33,87.65,431888,14396.27,30
"20","Ole Miss Rebels",4107000,216157.89,83.51,785000,41315.79,19
"21","South Carolina Gamecocks",3880000,323333.33,90.55,860100,71675,12
"22","North Carolina Tar Heels",3839000,383900,81.02,174400,17440,10
"23","Missouri Tigers",3807000,317250,88.16,256200,21350,12
"24","Clemson Tigers",3522000,195666.67,94.04,618100,34338.89,18
"25","Washington Huskies",3460000,494285.71,77.88,100900,14414.29,7
"26","Ucla Bruins",3134000,313400,70.79,121700,12170,10
"27","Kentucky Wildcats",2632000,219333.33,81.36,273100,22758.33,12
"28","Louisville Cardinals",2437000,243700,87.49,154100,15410,10
"29","Nebraska Cornhuskers",2326000,110761.9,77.01,322800,15371.43,21
"30","Maryland Terrapins",2150000,358333.33,72.47,175489,29248.17,6
