"","Name","High School","Position","Rating","College","NIL Valuation","Followers"
"1","Travis Hunter","CB /Collins HillSuwanee, GA","CB",99.56,"Colorado Buffaloes",2300000,1900000
"2","Kool-Aid McKinstry","CB /Pinson ValleyPinson, AL","CB",97.83,"Alabama Crimson Tide",803000,175000
"3","Kris Abrams-Draine","CB /Spanish FortSpanish Fort, AL","CB",89.33,"Missouri Tigers",640000,4900
"4","Denzel Burke","CB /SaguaroScottsdale, AZ","CB",92.1,"Ohio State Buckeyes",635000,35000
"5","Cooper DeJean","CB /Battle Creek-Ida GroveIda Grove, IA","CB",90.36,"Iowa Hawkeyes",609000,52000
"6","DJ James","CB /Spanish FortSpanish Fort, AL","CB",87.2,"Auburn Tigers",547000,17400
"7","Benjamin Morrison","CB /Brophy College PreparatoryPhoenix, AZ","CB",89.75,"Notre Dame Fighting Irish",529000,8700
"8","Mike Sainristil","CB /EverettEverett, MA","CB",87.5,"Michigan Wolverines",527000,55000
"9","Cormani McClain","CB /LakelandLakeland, FL","CB",98.16,"Colorado Buffaloes",505000,161000
"10","Terrion Arnold","CB /John Paul II CatholicTallahassee, FL","CB",96.57,"Alabama Crimson Tide",502000,281000
"11","Jahdae Barron","CB /Pflugerville ConnallyAustin, TX","CB",88.73,"Texas Longhorns",481000,4200
"12","Kamal Hadden","CB /River RougeRiver Rouge, MI","CB",86.04,"Tennessee Volunteers",477000,12500
"13","Kalen King","CB /Cass TechnicalDetroit, MI","CB",92.3,"Penn State Nittany Lions",477000,27000
"14","Dwight McGlothern","CB /Klein OakSpring, TX","CB",90.37,"Arkansas Razorbacks",453000,31000
"15","T.J. Tampa","CB /LakewoodSaint Petersburg, FL","CB",84.03,"Iowa State Cyclones",436000,24000
"16","Khyree Jackson","CB /Dr. Henry WiseUpper Marlboro, MD","CB",90.42,"Oregon Ducks",406000,41000
"17","Dezz Ricks","CB /IMG AcademyChesapeake, VA","CB",97.69,"Alabama Crimson Tide",395000,31000
"18","Josh Newton","CB /Ouachita ParishMonroe, LA","CB",76.05,"Tcu Horned Frogs",376000,5000
"19","Christian Roland-Wallace","CB /William KnightPalmdale, CA","CB",84.7,"Usc Trojans",361000,2500
"20","Kamari Lassiter","CB /American Christian Tuscaloosa, AL","CB",91.29,"Georgia Bulldogs",337000,26000
"21","Maxwell Hairston","CB /West BloomfieldWest Bloomfield, MI","CB",84.7,"Kentucky Wildcats",293000,16100
"22","Chau Smith-Wade","CB /Simeon Vocational HSChicago, IL","CB",83.43,"Washington State Cougars",290000,999
"23","Malik Muhammad","CB /South Oak CliffDallas, TX","CB",96.22,"Texas Longhorns",256000,43000
"24","Fentrell Cypress","CB /NorthwesternRock Hill, SC","CB",85.23,"Florida State Seminoles",251000,4200
"25","Zamari Walton","CB /Melbourne Central CatholicMelbourne, FL","CB",83.4,"Ole Miss Rebels",249000,19900
"26","Ennis Rakestraw","CB /DuncanvilleDuncanville, TX","CB",84.7,"Missouri Tigers",245000,22000
"27","Sebastian Castro","CB /H L RichardsOak Lawn, IL","CB",86.13,"Iowa Hawkeyes",243000,2500
"28","Nate Wiggins","CB /WestlakeAtlanta, GA","CB",93.59,"Clemson Tigers",236000,21000
"29","Will Johnson","CB /Grosse Pointe SouthGrosse Pointe, MI","CB",97.83,"Michigan Wolverines",224000,58000
"30","Quinyon Mitchell","CB /WillistonWilliston, FL","CB",82.08,"Toledo Rockets",224000,1000
"31","Alijah Huzzie","CB /Heard CountyFranklin, GA","CB",0,"North Carolina Tar Heels",224000,1300
"32","Davison Igbinosun","CB /UnionUnion, NJ","CB",92.79,"Ohio State Buckeyes",222000,41000
"33","Terrance Brooks","CB /Little ElmLittle Elm, TX","CB",95.9,"Texas Longhorns",221000,40000
"34","Julian Humphrey","CB /Clear LakeHouston, TX","CB",94.9,"Georgia Bulldogs",212000,458000
"35","Jaylin Davies","CB /Mater DeiSanta Ana, CA","CB",92.37,"Ucla Bruins",211000,14900
"36","Deantre Prince","CB /CharlestonCharleston, MS","CB",89.33,"Ole Miss Rebels",210000,15600
"37","Jermaine Mathews","CB /Winton WoodsCincinnati, OH","CB",96.23,"Ohio State Buckeyes",210000,40000
"38","Ceyair Wright","CB /LoyolaLos Angeles, CA","CB",94.95,"Usc Trojans",209000,69000
"39","Ryan Watts","CB /Little ElmLittle Elm, TX","CB",91.93,"Recruits",207000,64000
"40","A.J. Harris","CB /CentralPhenix City, AL","CB",96.6,"Georgia Bulldogs",203000,18200
"41","Kitan Crawford","CB /John TylerTyler, TX","CB",92.69,"Texas Longhorns",193000,6000
"42","Gavin Holmes","CB /Archbishop RummelMetairie, LA","CB",82.87,"Texas Longhorns",192000,3200
"43","Malik Dunlap","CB /Harding University HighCharlotte, NC","CB",81.9,"Texas Tech Red Raiders",189000,18600
"44","Mansoor Delane","CB /Archbishop SpaldingSevern, MD","CB",87.13,"Virginia Tech Hokies",185000,186000
"45","Greedy Vance","CB /Edna KarrNew Orleans, LA","CB",87.13,"Florida State Seminoles",185000,18600
"46","Beanie Bishop","CB /Pleasure Ridge ParkLouisville, KY","CB",78.55,"West Virginia Mountaineers",181000,1700
"47","Marcellas Dial","CB /WoodruffWoodruff, SC","CB",82.5,"South Carolina Gamecocks",179000,4300
"48","Ja'Keem Jackson","CB /OsceolaKissimmee, FL","CB",95.86,"Florida Gators",174000,15200
"49","Rodrick Pleasant","CB /Junipero SerraGardena, CA","CB",94.21,"Oregon Ducks",169000,26000
"50","Javien Toviano","CB /MartinArlington, TX","CB",95.69,"Lsu Tigers",165000,27000
"51","Warren Roberson","CB /Red OakRed Oak, TX","CB",90.89,"Texas Longhorns",160000,2700
"52","Bravion Rogers","CB /La GrangeLa Grange, TX","CB",94.27,"Texas Am Aggies",160000,14800
"53","Jelani McDonald","CB /ConnallyWaco, TX","CB",95.03,"Texas Longhorns",160000,7200
"54","Tahveon Nicholson","CB /Palmetto Prep (Prep School)Jacksonville, FL","CB",0,"Illinois Fighting Illini",156000,7600
"55","Quincy Riley","CB /A C FloraColumbia, SC","CB",83.5,"Louisville Cardinals",153000,7000
"56","Lance Robinson","CB /De La SalleNew Orleans, LA","CB",83.83,"Kansas State Wildcats",147000,8600
"57","Jayvon Thomas","CB /South Oak CliffDallas, TX","CB",93.44,"Texas Am Aggies",147000,6800
"58","Warren Burrell","CB /North GwinnettSuwanee, GA","CB",87.77,"Tennessee Volunteers",141000,11400
"59","Marquis Wilson","CB /Avon Old FarmsWindsor, CT","CB",89.67,"Recruits",141000,9600
"60","Christian Charles","CB /ChestateeGainesville, GA","CB",88.77,"Tennessee Volunteers",138000,4700
"61","Calvin Simpson-Hunt","CB /WaxahachieWaxahachie, TX","CB",95.69,"Ohio State Buckeyes",134000,3400
"62","Kayin Lee","CB /Cedar GroveEllenwood, GA","CB",93.56,"Auburn Tigers",134000,22000
"63","Jarvis Brownlee","CB /Miami Carol CityOpa Locka, FL","CB",87.73,"Louisville Cardinals",133000,6600
"64","Dijon Johnson","CB /WhartonTampa, FL","CB",93.69,"Florida Gators",132000,19700
"65","Jacobe Johnson","CB /MustangMustang, OK","CB",93.48,"Oklahoma Sooners",131000,12600
"66","Jaylon Braxton","CB /Lone StarFrisco, TX","CB",93.44,"Arkansas Razorbacks",129000,18500
"67","Daylen Austin","CB /Long Beach PolyLong Beach, CA","CB",93.93,"Oregon Ducks",126000,24000
"68","Jordan Matthews","CB /WoodlawnBaton Rouge, LA","CB",93.28,"Tennessee Volunteers",126000,14700
"69","Domani Jackson","CB /Mater DeiSanta Ana, CA","CB",98.57,"Usc Trojans",124000,36000
"70","Jarrian Jones","CB /Northwest RankinFlowood, MS","CB",91.05,"Recruits",122000,28000
"71","Elliot Washington","CB /VeniceVenice, FL","CB",92.72,"Penn State Nittany Lions",118000,29000
"72","Myles Jones","CB /Magnolia WestMagnolia, TX","CB",89.03,"Duke Blue Devils",118000,128000
"73","Christian Gray","CB /DeSmetSaint Louis, MO","CB",93.82,"Notre Dame Fighting Irish",116000,6800
"74","Tony Grimes","CB /Princess AnneVirginia Beach, VA","CB",97.64,"Texas Am Aggies",114000,30000
"75","Jordan Hancock","CB /North GwinnettSuwanee, GA","CB",95.58,"Ohio State Buckeyes",113000,22000
"76","Dorian Strong","CB /Dr. Henry WiseUpper Marlboro, MD","CB",82.23,"Virginia Tech Hokies",113000,2300
"77","Jyaire Hill","CB /KankakeeKankakee, IL","CB",92.68,"Michigan Wolverines",113000,12800
"78","Aydan White","CB /Christ SchoolArden, NC","CB",85.97,"Nc State Wolfpack",112000,2500
"79","Jaydon Hill","CB /Bob Jones Madison, AL","CB",90.55,"Florida Gators",111000,24000
"80","Aaron Williams","CB /St. John BoscoCorona, CA","CB",92.19,"Louisville Cardinals",111000,25000
"81","Daniel Harris","CB /Gulliver PrepMiami, FL","CB",92.74,"Georgia Bulldogs",111000,9800
"82","Jason Marshall","CB /Miami PalmettoMiami, FL","CB",96.88,"Florida Gators",111000,23000
"83","Deuce Harmon","CB /GuyerDenton, TX","CB",92.53,"Texas Am Aggies",110000,74000
"84","Renardo Green","CB /WekivaApopka, FL","CB",89,"Florida State Seminoles",110000,10000
"85","Shyheim Brown","CB /ColumbiaLake City, FL","CB",84.67,"Florida State Seminoles",109000,8000
"86","Akeem Dent","CB /Palm Beach CentralWest Palm Beach, FL","CB",95.89,"Florida State Seminoles",108000,6200
"87","Robert Stafford","CB /Eau GallieMelbourne, FL","CB",92.88,"Miami Hurricanes",107000,8400
"88","Keionte Scott","CB /HelixLa Mesa, CA","CB",92.62,"Auburn Tigers",107000,18000
"89","JaDarian Rhym","CB /ValdostaValdosta, GA","CB",92.81,"Auburn Tigers",106000,15200
"90","Devin Moore","CB /NaplesNaples, FL","CB",91.88,"Florida Gators",106000,16000
"91","Kevin Knowles II","CB /McArthurHollywood, FL","CB",88.21,"Florida State Seminoles",105000,4300
"92","Alex Johnson","CB /LoyolaLos Angeles, CA","CB",0,"Ucla Bruins",105000,1800
