"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"1","jackson state tigers","colorado buffaloes",7658000,957250,8,"SWAC","Jackson, Mississippi",32.2998686,-90.1830408,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"2","wake forest demon deacons","notre dame fighting irish",1100000,1100000,1,"ACC","Winston-Salem, NC",36.0998131,-80.2440518,"Independent","South Bend, IN",41.6833813,-86.2500066
"3","clemson tigers","oregon state beavers",902000,902000,1,"ACC","Clemson, SC",34.6850749,-82.8364111,"Pac-12","Corvallis, OR",44.5645659,-123.2620435
"4","michigan state spartans","florida state seminoles",819000,409500,2,"Big Ten","East Lansing, MI",42.7320307,-84.4721678,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"5","arizona wildcats","usc trojans",702000,234000,3,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"6","wisconsin badgers","florida gators",686000,686000,1,"Big Ten","Madison, WI",43.074761,-89.3837613,"SEC","Gainesville, FL",29.6519684,-82.3249846
"7","alabama crimson tide","oregon ducks",628000,314000,2,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"8","south carolina gamecocks","florida state seminoles",597000,298500,2,"SEC","Columbia, SC",34.0003117,-81.0331309,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"9","rhode island rams","oregon ducks",580000,580000,1,"CAA","Kingston, Rhode Island",41.4801166,-71.5227103,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"10","stanford cardinal","oklahoma sooners",524000,524000,1,"Pac-12[n 6]","Stanford[n 25], CA",37.427467,-122.1702445,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"11","northwestern wildcats","virginia cavaliers",521000,521000,1,"Big Ten","Evanston, IL",42.0470043,-87.6846053,"ACC","Charlottesville, VA",38.029306,-78.4766781
"12","georgia bulldogs","texas longhorns",488000,488000,1,"SEC","Athens, GA",33.9597677,-83.376398,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995
"13","louisiana tech bulldogs","ole miss rebels",474000,474000,1,"C-USA","Ruston, LA",32.5232053,-92.637927,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"14","florida gators","virginia tech hokies",463000,463000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"ACC","Blacksburg, VA",37.2296566,-80.4136767
"15","nc state wolfpack","kentucky wildcats",456000,228000,2,"ACC","Raleigh, NC",35.7803977,-78.6390989,"SEC","Lexington, KY",38.0464066,-84.4970393
"16","georgia bulldogs","usc trojans",446000,446000,1,"SEC","Athens, GA",33.9597677,-83.376398,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"17","oregon ducks","arizona wildcats",446000,446000,1,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847
"18","south carolina gamecocks","usc trojans",410000,410000,1,"SEC","Columbia, SC",34.0003117,-81.0331309,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"19","vanderbilt commodores","kentucky wildcats",400000,400000,1,"SEC","Nashville, TN",36.1622767,-86.7742984,"SEC","Lexington, KY",38.0464066,-84.4970393
"20","tulsa golden hurricane","auburn tigers",387000,193500,2,"American","Tulsa, OK",36.1563122,-95.9927516,"SEC","Auburn, AL",32.6405377,-85.4626848
